school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"Harvard University",harvard-university,0.05,Cambridge,MA,0.98,2,1,1,1515,34,25000,9000,52000,harvard.edu
"Stanford University",stanford-university,0.05,Stanford,CA,0.95,1,10,2,1505,33,15000,8000,54000,stanford.edu
"Columbia University",columbia-university,0.07,"New York",NY,0.96,6,3,3,1505,34,28000,9000,61000,columbia.edu
"Yale University",yale-university,0.07,"New Haven",CT,0.96,4,5,4,1515,34,16000,8000,56000,yale.edu
"Massachusetts Institute of Technology",massachusetts-institute-of-technology,0.07,Cambridge,MA,0.96,3,9,5,1540,35,14000,5000,54000,mit.edu
"University of California, Berkeley","university-of-california,-berkeley",0.17,Berkeley,CA,0.92,29,6,6,1430,33,42000,32000,14000,berkeley.edu
"Princeton University",princeton-university,0.06,Princeton,NJ,0.98,5,11,7,1515,34,7000,6000,53000,princeton.edu
"University of Chicago",university-of-chicago,0.07,Chicago,IL,0.96,8,7,8,1535,34,13000,5000,59000,uchicago.edu
"University of Michigan",university-of-michigan,0.26,"Ann Arbor",MI,0.93,37,12,9,1435,32,43000,30000,17000,umich.edu
"New York University",new-york-university,0.21,"New York",NY,0.88,44,17,10,1440,32,48000,29000,53000,nyu.edu
"University of Pennsylvania",university-of-pennsylvania,0.09,Philadelphia,PA,0.96,10,16,11,1505,34,28000,15000,58000,upenn.edu
"Cornell University",cornell-university,0.11,Ithaca,NY,0.95,14,15,12,1480,33,25000,16000,57000,cornell.edu
"University of California, Los Angeles","university-of-california,-los-angeles",0.14,"Los Angeles",CA,0.91,31,20,13,1415,32,44000,32000,13000,ucla.edu
"Duke University",duke-university,0.08,Durham,NC,0.96,12,28,14,1525,34,15000,8000,58000,duke.edu
"Johns Hopkins University",johns-hopkins-university,0.11,Baltimore,MD,0.94,21,21,15,1510,34,25000,7000,55000,jh.edu
"University of Southern California",university-of-southern-california,0.16,"Los Angeles",CA,0.92,30,31,16,1445,32,40000,22000,58000,usc.edu
"Georgetown University",georgetown-university,0.17,Washington,DC,0.94,19,38,17,1465,33,14000,7000,56000,georgetown.edu
"University of Washington",university-of-washington,0.56,Seattle,WA,0.82,69,27,18,1345,30,47000,35000,11000,uw.edu
"University of Texas at Austin",university-of-texas-at-austin,0.32,Austin,TX,0.88,43,32,19,1355,30,45000,37000,11000,utexas.edu
"Northwestern University",northwestern-university,0.09,Evanston,IL,0.95,24,30,20,1495,34,19000,8000,57000,northwestern.edu
"Brown University",brown-university,0.08,Providence,RI,0.95,7,33,21,1505,34,10000,7000,58000,brown.edu
"Carnegie Mellon University",carnegie-mellon-university,0.17,Pittsburgh,PA,0.93,35,35,22,1510,34,16000,7000,57000,cmu.edu
"University of Minnesota",university-of-minnesota,0.7,Minneapolis,MN,0.84,890,26,23,1370,28,44000,35000,15000,umn.edu
"University of Wisconsin–Madison","university-of-wisconsin–madison",0.57,Madison,WI,0.88,216,24,24,1390,29,36000,30000,11000,wisc.edu
"California Institute of Technology",california-institute-of-technology,0.07,Pasadena,CA,0.92,9,29,25,1545,35,2000,1000,55000,caltech.edu
"University of Virginia",university-of-virginia,0.23,Charlottesville,VA,0.94,40,36,26,1430,32,25000,17000,18000,virginia.edu
"University of California, San Diego","university-of-california,-san-diego",0.37,"La Jolla",CA,0.87,71,51,27,1370,30,38000,31000,14000,ucsd.edu
"Boston University",boston-university,0.2,Boston,MA,0.89,56,46,28,1425,32,33000,22000,56000,bu.edu
"Rutgers University",rutgers-university,,,,,,48,29,,,,,,rutgers.edu
"University of Illinois Urbana-Champaign",university-of-illinois-urbana-champaign,0.63,Champaign,IL,0.86,162,50,30,1340,29,52000,35000,17000,illinois.edu
"Indiana University Bloomington",indiana-university-bloomington,0.8,Bloomington,IN,0.8,875,53,31,1255,27,40000,33000,11000,indiana.edu
"University of Pittsburgh",university-of-pittsburgh,0.64,Pittsburgh,PA,0.84,987,58,32,1350,30,27000,20000,20000,pitt.edu
"University of Florida",university-of-florida,0.31,Gainesville,FL,0.89,45,65,33,1390,30,46000,35000,6000,ufl.edu
"University of North Carolina at Chapel Hill",university-of-north-carolina-at-chapel-hill,0.25,"Chapel Hill",NC,0.91,38,63,34,1405,30,25000,19000,9000,unc.edu
"University of Maryland, College Park","university-of-maryland,-college-park",0.51,"College Park",MD,0.87,214,75,35,1375,31,35000,29000,11000,umd.edu
"Ohio State University",ohio-state-university,0.68,Columbus,OH,0.87,77,56,36,1355,30,56000,46000,11000,osu.edu
"Purdue University",purdue-university,0.67,"West Lafayette",IN,0.83,1204,64,37,1315,28,42000,34000,10000,purdue.edu
"Pennsylvania State University",pennsylvania-state-university,0.76,"University Park",PA,0.69,,77,38,1190,26,47000,43000,18000,psu.edu
"Dartmouth College",dartmouth-college,0.09,Hanover,NH,0.95,11,60,39,1500,33,6000,5000,57000,dartmouth.edu
"Washington University in St. Louis",washington-university-in-st.-louis,0.16,"Saint Louis",MO,0.94,20,67,40,1520,34,13000,7000,55000,wustl.edu
"University of Arizona",university-of-arizona,0.85,Tucson,AZ,0.65,605,85,41,1235,25,39000,33000,12000,arizona.edu
"George Washington University",george-washington-university,0.43,Washington,DC,0.85,76,72,42,1375,31,21000,12000,55000,gwu.edu
"Tufts University",tufts-university,0.16,Medford,MA,0.94,25,88,43,1465,33,10000,6000,59000,tufts.edu
"Michigan State University",michigan-state-university,0.76,"East Lansing",MI,0.81,1461,94,44,1210,26,43000,38000,16000,msu.edu
"University of Utah",university-of-utah,0.79,"Salt Lake City",UT,0.67,1235,80,45,1261,25,28000,22000,9000,utah.edu
"Syracuse University",syracuse-university,0.69,Syracuse,NY,0.83,1450,81,46,1280,28,23000,18000,52000,syr.edu
"University of Rochester",university-of-rochester,0.35,Rochester,NY,0.86,61,82,47,1405,32,11000,7000,56000,rochester.edu
"University of Notre Dame",university-of-notre-dame,0.19,"Notre Dame",IN,0.97,23,84,48,1475,33,13000,10000,56000,nd.edu
"Emory University",emory-university,0.19,Atlanta,GA,0.9,41,106,49,1445,32,13000,8000,54000,emory.edu
"University of Iowa",university-of-iowa,0.84,"Iowa City",IA,0.72,369,74,50,1235,25,27000,23000,10000,uiowa.edu
"University of California, Santa Barbara","university-of-california,-santa-barbara",0.37,"Santa Barbara",CA,0.84,100,103,102,1355,30,26000,23000,14000,ucsb.edu
"Brandeis University",brandeis-university,0.33,Waltham,MA,0.89,167,92,104,1435,31,7000,4000,57000,brandeis.edu
"Arizona State University",arizona-state-university,0.88,Tempe,AZ,0.66,1312,138,106,1240,25,51000,44000,11000,asu.edu
"University of California, Davis","university-of-california,-davis",0.46,Davis,CA,0.86,163,129,108,1290,28,36000,30000,14000,ucdavis.edu
"Vanderbilt University",vanderbilt-university,0.12,Nashville,TN,0.93,16,96,110,1510,34,11000,7000,52000,vanderbilt.edu
"University of California, Irvine","university-of-california,-irvine",0.3,Irvine,CA,0.85,87,114,112,1295,28,37000,31000,14000,uci.edu
"City University of New York",city-university-of-new-york,,,,,,101,114,,,,,,cuny.edu
"University of Colorado",university-of-colorado,,,,,,121,116,,,,,,
"University of California, San Francisco","university-of-california,-san-francisco",,"San Francisco",CA,,,136,118,,,1000,,,ucsf.edu
"Wesleyan University",wesleyan-university,0.21,Middletown,CT,0.91,34,104,120,,,4000,3000,57000,wesleyan.edu
"Rice University",rice-university,0.11,Houston,TX,0.94,15,115,122,1520,34,8000,4000,49000,rice.edu
"University of Miami",university-of-miami,0.33,"Coral Gables",FL,0.83,106,137,124,1355,30,15000,11000,52000,miami.edu
"Texas A&M University",texas-a&m-university,0.63,"College Station",TX,0.83,91,134,126,1275,28,58000,48000,11000,tamu.edu
"University of Massachusetts Amherst",university-of-massachusetts-amherst,0.65,Amherst,MA,0.83,953,141,128,1290,29,28000,24000,16000,umass.edu
"Brigham Young University",brigham-young-university,0.69,Provo,UT,0.75,102,147,130,1315,28,33000,31000,6000,byu.edu
"American University",american-university,0.39,Washington,DC,0.79,113,177,132,1300,29,12000,8000,50000,american.edu
"Case Western Reserve University",case-western-reserve-university,0.3,Cleveland,OH,0.85,110,109,134,1425,32,9000,5000,51000,case.edu
"University of Missouri",university-of-missouri,0.82,Columbia,MO,0.73,1169,98,136,1230,26,25000,21000,10000,missouri.edu
"University of Georgia",university-of-georgia,0.48,Athens,GA,0.87,58,122,138,1330,29,38000,29000,12000,uga.edu
"Georgia Tech",georgia-tech,0.21,Atlanta,GA,0.91,39,159,140,1405,31,30000,15000,13000,gatech.edu
"Temple University",temple-university,0.71,Philadelphia,PA,0.75,1402,131,142,,,33000,28000,17000,temple.edu
"Stony Brook University",stony-brook-university,0.49,"Stony Brook",NY,0.76,1211,173,144,1335,29,24000,18000,10000,stonybrook.edu
"Florida State University",florida-state-university,0.32,Tallahassee,FL,0.84,174,155,146,1270,28,39000,32000,7000,fsu.edu
"University of Oregon",university-of-oregon,0.84,Eugene,OR,0.74,547,127,148,1205,25,22000,19000,13000,uoregon.edu
"City College of New York",city-college-of-new-york,0.51,"New York",NY,0.6,,59,150,,,13000,11000,7000,cuny.edu
"Yeshiva University",yeshiva-university,0.67,"New York",NY,0.77,136,148,152,1270,27,4000,3000,45000,yu.edu
"George Mason University",george-mason-university,0.89,Fairfax,VA,0.72,548,208,154,1215,27,31000,24000,13000,gmu.edu
"University of Kansas",university-of-kansas,0.91,Lawrence,KS,0.63,620,125,156,,,23000,19000,11000,ku.edu
"Tulane University",tulane-university,0.11,"New Orleans",LA,0.86,107,143,158,1440,32,12000,9000,57000,tulane.edu
"University of Cincinnati",university-of-cincinnati,0.76,Cincinnati,OH,0.73,1179,152,160,1235,26,33000,25000,11000,uc.edu
"University of Houston",university-of-houston,0.63,Houston,TX,0.62,1064,188,162,1225,24,37000,33000,9000,uh.edu
"Fordham University",fordham-university,0.53,Bronx,NY,0.83,66,169,164,1345,30,15000,10000,54000,fordham.edu
"University of California, Santa Cruz","university-of-california,-santa-cruz",0.65,"Santa Cruz",CA,0.76,734,144,166,1290,29,20000,18000,14000,ucsc.edu
"Boston College",boston-college,0.26,"Chestnut Hill",MA,0.92,49,197,168,1420,32,13000,10000,58000,bc.edu
"Massachusetts General Hospital",massachusetts-general-hospital,,,,,,216,170,,,,,,
"Swarthmore College",swarthmore-college,0.09,Swarthmore,PA,0.97,22,142,172,1460,33,2000,2000,55000,swarthmore.edu
"Wayne State University",wayne-state-university,0.69,Detroit,MI,0.52,842,150,174,1120,24,20000,15000,15000,wayne.edu
"Amherst College",amherst-college,0.12,Amherst,MA,0.95,26,112,176,1415,32,2000,2000,59000,amherst.edu
"University at Buffalo",university-at-buffalo,0.67,Buffalo,NY,0.75,1348,176,178,1250,26,28000,23000,11000,buffalo.edu
"Louisiana State University",louisiana-state-university,0.73,"Baton Rouge",LA,0.7,1396,183,180,1195,26,27000,23000,12000,lsu.edu
"Reed College",reed-college,0.42,Portland,OR,0.77,79,174,182,1422,32,1000,1000,58000,reed.edu
"University of Connecticut",university-of-connecticut,0.56,Storrs,CT,0.83,1460,207,184,1305,29,24000,19000,17000,uconn.edu
"Virginia Tech",virginia-tech,0.66,Blacksburg,VA,0.86,230,231,186,1285,28,35000,29000,14000,vt.edu
"University of Colorado Boulder",university-of-colorado-boulder,0.84,Boulder,CO,0.72,,195,188,1250,28,33000,29000,13000,colorado.edu
"University of Kentucky",university-of-kentucky,0.96,Lexington,KY,0.66,541,193,190,1195,25,24000,21000,12000,uky.edu
"University of Alabama",university-of-alabama,0.8,Tuscaloosa,AL,0.72,94,184,192,1210,27,36000,32000,11000,ua.edu
"University of Tennessee",university-of-tennessee,0.78,Knoxville,TN,0.71,1285,215,194,1240,27,27000,22000,13000,utk.edu
"University of Oklahoma",university-of-oklahoma,0.83,Norman,OK,0.72,1309,189,196,1210,26,24000,20000,9000,ou.edu
"Iowa State University",iowa-state-university,0.88,Ames,IA,0.75,1077,172,198,1220,25,32000,29000,9000,iastate.edu
"University of Illinois at Chicago",university-of-illinois-at-chicago,0.73,Chicago,IL,0.63,795,196,200,1145,24,27000,20000,15000,uic.edu
"University of New Mexico",university-of-new-mexico,0.96,Albuquerque,NM,0.54,1170,204,303,1130,22,19000,15000,8000,unm.edu
"Barnard College",barnard-college,0.14,"New York",NY,0.9,65,190,306,1430,32,3000,3000,58000,barnard.edu
"Oberlin College",oberlin-college,0.35,Oberlin,OH,0.86,114,119,309,1380,31,3000,3000,57000,oberlin.edu
"The New School",the-new-school,0.69,"New York",NY,0.69,1438,132,312,1265,27,10000,7000,51000,newschool.edu
"Brooklyn College",brooklyn-college,0.5,Brooklyn,NY,0.54,1381,146,315,,,15000,13000,7000,cuny.edu
"Howard University",howard-university,0.39,Washington,DC,0.64,220,135,318,1205,24,8000,6000,27000,howard.edu
"North Carolina State University",north-carolina-state-university,0.46,Raleigh,NC,0.84,176,230,321,1335,29,31000,24000,9000,ncsu.edu
"Rockefeller University",rockefeller-university,,"New York",NY,,,165,324,,,1000,,,rockefeller.edu
"Williams College",williams-college,0.15,Williamstown,MA,0.96,27,164,327,1480,33,2000,2000,57000,williams.edu
"Northeastern University",northeastern-university,0.2,Boston,MA,0.9,,285,330,1465,33,23000,18000,54000,neu.edu
"Vassar College",vassar-college,0.25,Poughkeepsie,NY,0.88,88,175,333,1445,32,2000,2000,59000,vassar.edu
"Southern Methodist University",southern-methodist-university,0.53,Dallas,TX,0.81,1324,270,336,1390,31,10000,7000,57000,smu.edu
"Wellesley College",wellesley-college,0.2,Wellesley,MA,0.94,33,187,339,1445,32,3000,3000,56000,wellesley.edu
"Baylor University",baylor-university,0.68,Waco,TX,0.79,96,260,342,1290,29,17000,14000,47000,baylor.edu
"Rensselaer Polytechnic Institute",rensselaer-polytechnic-institute,0.57,Troy,NY,0.87,1177,205,345,1390,31,9000,8000,55000,rpi.edu
"Smith College",smith-college,0.37,Northampton,MA,0.87,111,154,348,,,3000,3000,54000,smith.edu
"San Francisco State University",san-francisco-state-university,0.84,"San Francisco",CA,0.55,255,252,351,1045,20,26000,24000,7000,sfsu.edu
"University of California, Riverside","university-of-california,-riverside",0.66,Riverside,CA,0.77,919,301,354,1230,26,24000,20000,14000,ucr.edu
"Radcliffe College",radcliffe-college,,,,,,201,357,,,,,,
"United States Military Academy",united-states-military-academy,0.09,"West  Point",NY,0.85,55,100,360,1270,27,5000,5000,,usma.edu
"Wake Forest University",wake-forest-university,0.32,Winston-Salem,NC,0.89,48,322,363,,,8000,5000,55000,wfu.edu
"University of Delaware",university-of-delaware,0.66,Newark,DE,0.82,1237,291,366,1255,27,23000,20000,14000,udel.edu
"Oregon State University",oregon-state-university,0.82,Corvallis,OR,0.69,1025,248,369,1200,24,26000,22000,12000,oregonstate.edu
"Auburn University",auburn-university,0.85,Auburn,AL,0.79,1155,298,372,1235,28,28000,24000,11000,auburn.edu
"Hunter College",hunter-college,0.4,"New York",NY,0.56,1193,226,375,,,19000,14000,7000,hunter.cuny.edu
"University of Denver",university-of-denver,0.61,Denver,CO,0.75,279,272,378,1260,28,10000,6000,53000,du.edu
"San Diego State University",san-diego-state-university,0.37,"San Diego",CA,0.76,189,323,381,1215,25,33000,29000,8000,sdsu.edu
"University of South Florida",university-of-south-florida,0.49,Tampa,FL,0.74,239,332,384,1250,27,37000,29000,6000,usf.edu
"University of South Carolina",university-of-south-carolina,0.68,Columbia,SC,0.78,1388,286,387,1275,28,32000,27000,13000,sc.edu
"Baylor College of Medicine",baylor-college-of-medicine,,Houston,TX,,,365,390,,,1000,,,bcm.edu
"Icahn School of Medicine at Mount Sinai",icahn-school-of-medicine-at-mount-sinai,,"New York",NY,,,366,393,,,1000,,,mssm.edu
"Binghamton University",binghamton-university,0.43,Vestal,NY,0.82,1143,328,396,1360,30,18000,15000,10000,binghamton.edu
"San Jose State University",san-jose-state-university,0.67,"San Jose",CA,0.66,871,313,399,1140,22,29000,24000,8000,sjsu.edu
"The Catholic University of America",the-catholic-university-of-america,0.82,Washington,DC,0.74,261,277,402,,,5000,3000,48000,catholic.edu
"Drexel University",drexel-university,0.77,Philadelphia,PA,0.71,54,310,405,1290,28,23000,18000,55000,drexel.edu
"United States Naval Academy",united-states-naval-academy,0.09,Annapolis,MD,0.9,52,170,408,1350,29,5000,5000,,usna.edu
"Illinois Institute of Technology",illinois-institute-of-technology,0.61,Chicago,IL,0.72,1135,203,411,1295,29,5000,3000,49000,iit.edu
"University of Louisville",university-of-louisville,0.65,Louisville,KY,0.6,1277,302,414,1180,25,16000,13000,12000,louisville.edu
"Loyola University Chicago",loyola-university-chicago,0.71,Chicago,IL,0.76,254,346,417,1225,27,15000,12000,46000,luc.edu
"University of Arkansas",university-of-arkansas,0.78,Fayetteville,AR,0.68,1356,306,420,1210,26,25000,22000,9000,uark.edu
"Santa Clara University",santa-clara-university,0.51,"Santa Clara",CA,0.92,1245,355,423,1360,30,8000,6000,54000,scu.edu
"Washington State University",washington-state-university,0.8,Pullman,WA,0.59,844,284,426,1125,23,28000,24000,12000,wsu.edu
"William & Mary",william-&-mary,0.42,Williamsburg,VA,0.91,53,274,429,1415,32,8000,6000,23000,wm.edu
"Texas Tech University",texas-tech-university,0.7,Lubbock,TX,0.63,1458,357,432,1165,24,34000,30000,9000,ttu.edu
"Pomona College",pomona-college,0.09,Claremont,CA,0.94,13,319,435,1465,33,2000,2000,55000,pomona.edu
"West Virginia University",west-virginia-university,0.84,Morgantown,WV,0.62,1022,317,438,1130,24,25000,21000,9000,wvu.edu
"Ohio University",ohio-university,0.87,Athens,OH,0.66,591,338,441,1155,23,26000,21000,13000,ohio.edu
"University of Nebraska–Lincoln","university-of-nebraska–lincoln",0.78,Lincoln,NE,0.66,711,246,444,1240,25,22000,19000,9000,unl.edu
"Haverford College",haverford-college,0.18,Haverford,PA,0.93,73,325,447,1460,33,1000,1000,57000,haverford.edu
"New York University Tandon School of Engineering",new-york-university-tandon-school-of-engineering,,,,,,209,450,,,,,,
"Miami University",miami-university,0.92,Oxford,OH,0.82,70,314,604,1290,27,20000,18000,15000,miamioh.edu
"Lehigh University",lehigh-university,0.5,Bethlehem,PA,0.88,89,294,608,1365,31,6000,5000,55000,lehigh.edu
"Bard College",bard-college,0.57,Annandale-On-Hudson,NY,0.74,998,337,612,,,2000,2000,56000,bard.edu
"MD Anderson Cancer Center",md-anderson-cancer-center,,Houston,TX,,,510,616,,,1000,0,5000,uth.edu
"Kansas State University",kansas-state-university,0.94,Manhattan,KS,0.68,1154,326,620,,,19000,16000,11000,ksu.edu
"University of Central Florida",university-of-central-florida,0.45,Orlando,FL,0.74,181,478,624,1255,27,59000,52000,6000,ucf.edu
"University of Vermont",university-of-vermont,0.71,Burlington,VT,0.76,246,300,628,1270,28,12000,11000,19000,uvm.edu
"Colorado State University",colorado-state-university,0.84,"Fort Collins",CO,0.7,783,386,632,1180,26,29000,23000,12000,colostate.edu
"Middlebury College",middlebury-college,0.22,Middlebury,VT,0.94,32,373,636,1445,33,3000,3000,56000,middlebury.edu
"Marquette University",marquette-university,0.82,Milwaukee,WI,0.84,475,351,640,1220,26,10000,8000,44000,marquette.edu
"University of Maine",university-of-maine,0.92,Orono,ME,0.56,575,354,644,1155,24,10000,9000,11000,umaine.edu
"Virginia Commonwealth University",virginia-commonwealth-university,0.91,Richmond,VA,0.66,994,405,648,1165,24,26000,21000,15000,vcu.edu
"University of Mississippi",university-of-mississippi,0.88,University,MS,0.67,710,329,652,1135,25,21000,18000,9000,olemiss.edu
"Antioch University",antioch-university,,"Culver City",CA,,,266,656,,,1000,0,21000,antioch.edu
"University of Texas Southwestern Medical Center",university-of-texas-southwestern-medical-center,,Dallas,TX,,,507,660,,,1000,,,swmed.edu
"University of Alabama at Birmingham",university-of-alabama-at-birmingham,0.81,Birmingham,AL,0.61,1232,428,664,1227,25,19000,12000,9000,uab.edu
"Saint Louis University",saint-louis-university,0.56,"Saint Louis",MO,0.79,714,343,668,1275,27,10000,8000,45000,slu.edu
"Hofstra University",hofstra-university,0.69,Hempstead,NY,0.65,850,442,672,1250,27,9000,7000,48000,hofstra.edu
"University at Albany, SUNY","university-at-albany,-suny",0.57,Albany,NY,0.65,1020,434,676,1170,25,16000,14000,10000,albany.edu
"Sarah Lawrence College",sarah-lawrence-college,0.55,Bronxville,NY,0.72,1422,402,680,1331,29,2000,1000,58000,slc.edu
"University of San Francisco",university-of-san-francisco,0.7,"San Francisco",CA,0.71,339,397,684,1230,26,10000,7000,50000,usfca.edu
"Weill Cornell Medicine",weill-cornell-medicine,,"New York",NY,,,454,688,,,1000,,,cornell.edu
"University of North Texas",university-of-north-texas,0.84,Denton,TX,0.57,1391,423,692,1155,24,33000,28000,11000,unt.edu
"University of Wisconsin–Milwaukee","university-of-wisconsin–milwaukee",0.79,Milwaukee,WI,0.46,1407,399,696,,,23000,20000,10000,uwm.edu
"Utah State University",utah-state-university,0.91,Logan,UT,0.5,447,417,700,1180,24,23000,21000,8000,usu.edu
"DePaul University",depaul-university,0.7,Chicago,IL,0.71,308,444,704,,,19000,14000,41000,depaul.edu
"Florida International University",florida-international-university,0.58,Miami,FL,0.67,215,498,708,1195,25,47000,40000,7000,fiu.edu
"Clemson University",clemson-university,0.62,Clemson,SC,0.85,513,437,712,1315,29,24000,20000,16000,clemson.edu
"University of New Hampshire",university-of-new-hampshire,0.85,Durham,NH,0.76,427,475,716,1170,25,16000,14000,19000,unh.edu
"Claremont Graduate University",claremont-graduate-university,,Claremont,CA,,,392,720,,,1000,,,cgu.edu
"Wheaton College",wheaton-college,0.87,Wheaton,IL,0.88,1019,362,561,1330,29,3000,2000,38000,wheaton.edu
"Bryn Mawr College",bryn-mawr-college,0.38,"Bryn Mawr",PA,0.85,119,251,728,,,2000,1000,54000,brynmawr.edu
"California State University, Northridge","california-state-university,-northridge",0.66,Northridge,CA,0.55,1253,467,732,1020,19,33000,30000,7000,csun.edu
"Washington and Lee University",washington-and-lee-university,0.25,Lexington,VA,0.93,80,361,736,1430,33,2000,2000,55000,wlu.edu
"Pepperdine University",pepperdine-university,0.42,Malibu,CA,0.89,903,490,740,1340,29,8000,4000,56000,pepperdine.edu
"College of the Holy Cross",college-of-the-holy-cross,0.38,Worcester,MA,0.93,134,418,744,1345,30,3000,3000,55000,holycross.edu
"Villanova University",villanova-university,0.31,Villanova,PA,0.92,198,451,748,1395,32,10000,8000,55000,villanova.edu
"University of Maryland, Baltimore","university-of-maryland,-baltimore",,Baltimore,MD,,,410,752,,,3000,1000,11000,umaryland.edu
"University of Memphis",university-of-memphis,0.85,Memphis,TN,0.52,787,505,756,1120,22,16000,14000,10000,memphis.edu
"Queens College, City University of New York","queens-college,-city-university-of-new-york",0.53,Queens,NY,0.53,1468,377,760,,,16000,14000,8000,cuny.edu
"University of Rhode Island",university-of-rhode-island,0.76,Kingston,RI,0.71,511,429,764,1145,25,15000,14000,15000,uri.edu
"Mount Holyoke College",mount-holyoke-college,0.52,"South Hadley",MA,0.84,228,278,768,,,3000,2000,52000,mtholyoke.edu
"University of Nevada, Las Vegas","university-of-nevada,-las-vegas",0.81,"Las Vegas",NV,0.44,1418,446,772,1140,22,25000,22000,8000,unlv.edu
"Rhode Island School of Design",rhode-island-school-of-design,0.27,Providence,RI,0.89,84,573,776,1350,29,3000,2000,53000,risd.edu
"Colgate University",colgate-university,0.27,Hamilton,NY,0.91,42,411,780,1415,32,3000,3000,58000,colgate.edu
"Georgia State University",georgia-state-university,0.82,Atlanta,GA,0.53,975,487,784,1155,23,33000,25000,9000,gsu.edu
"Bowdoin College",bowdoin-college,0.09,Brunswick,ME,0.95,17,297,788,,,2000,2000,56000,bowdoin.edu
"University of Wyoming",university-of-wyoming,0.94,Laramie,WY,0.59,819,438,792,1170,25,10000,9000,5000,uwyo.edu
"Western Michigan University",western-michigan-university,0.85,Kalamazoo,MI,0.57,434,513,796,1105,22,19000,16000,13000,wmich.edu
"Portland State University",portland-state-university,0.95,Portland,OR,0.49,448,522,800,1110,21,20000,17000,8000,pdx.edu
"Kent State University",kent-state-university,0.84,Kent,OH,0.65,803,515,1005,1135,23,25000,20000,11000,kent.edu
"Seton Hall University",seton-hall-university,0.78,"South Orange",NJ,0.72,691,514,1010,1240,26,9000,6000,44000,shu.edu
"Trinity College",trinity-college,0.36,Hartford,CT,0.82,148,494,1015,1374,30,2000,2000,59000,trincoll.edu
"Pratt Institute",pratt-institute,0.66,Brooklyn,NY,0.71,1268,378,1020,1270,27,5000,4000,54000,pratt.edu
"Kenyon College",kenyon-college,0.37,Gambier,OH,0.89,50,420,1025,1365,31,2000,2000,58000,kenyon.edu
"Clark University",clark-university,0.47,Worcester,MA,0.75,469,263,1030,,,3000,2000,47000,clarku.edu
"Baruch College",baruch-college,0.41,"New York",NY,0.73,,500,1035,,,15000,13000,7000,cuny.edu
"Carleton College",carleton-college,0.21,Northfield,MN,0.94,78,432,1040,1450,32,2000,2000,57000,carleton.edu
"University of Nevada, Reno","university-of-nevada,-reno",0.87,Reno,NV,0.6,1404,489,1045,1180,23,19000,17000,8000,unr.edu
"Hampshire College",hampshire-college,0.59,Amherst,MA,0.66,955,623,1050,,,1000,1000,52000,hampshire.edu
"Southeast Missouri State University",southeast-missouri-state-university,0.93,"Cape Girardeau",MO,0.51,1249,585,1055,,,9000,8000,8000,semo.edu
"East Carolina University",east-carolina-university,0.88,Greenville,NC,0.65,1186,598,1060,1115,22,25000,22000,7000,ecu.edu
"University of Montana",university-of-montana,0.96,Missoula,MT,0.44,417,538,1065,1150,23,9000,7000,7000,umt.edu
"School of Visual Arts",school-of-visual-arts,0.72,"New York",NY,0.72,1038,506,1070,1215,24,4000,4000,42000,sva.edu
"Bowling Green State University",bowling-green-state-university,0.75,"Bowling Green",OH,0.62,940,556,1075,990,21,16000,14000,11000,bgsu.edu
"George Washington University residence halls",george-washington-university-residence-halls,,,,,,482,1080,,,,,,
"University of Texas at Dallas",university-of-texas-at-dallas,0.79,Richardson,TX,0.69,222,601,1085,1350,29,25000,18000,13000,utd.edu
"Thomas Jefferson University",thomas-jefferson-university,0.7,Philadelphia,PA,0.7,568,439,1090,1165,24,6000,4000,42000,tju.edu
"California State University, Long Beach","california-state-university,-long-beach",0.42,"Long Beach",CA,0.73,183,599,1095,1145,23,32000,28000,7000,csulb.edu
"Claremont McKenna College",claremont-mckenna-college,0.13,Claremont,CA,0.92,18,612,1100,1435,32,1000,1000,56000,claremontmckenna.edu
"Northern Illinois University",northern-illinois-university,0.59,Dekalb,IL,0.48,1145,594,1105,1055,22,14000,11000,15000,niu.edu
"Mississippi State University",mississippi-state-university,0.8,"Mississippi State",MS,0.64,821,595,1110,1175,26,21000,18000,9000,msstate.edu
"Naval Postgraduate School",naval-postgraduate-school,,Monterey,CA,,,495,1115,,,5000,,,nps.edu
"Florida Atlantic University",florida-atlantic-university,0.75,"Boca Raton",FL,0.56,1363,654,1120,1160,24,26000,22000,5000,fau.edu
"Morehouse College",morehouse-college,0.77,Atlanta,GA,0.56,1436,450,1125,1081,20,2000,2000,29000,morehouse.edu
"Chapman University",chapman-university,0.58,Orange,CA,0.8,1410,687,1130,1285,28,9000,7000,55000,chapman.edu
"University of Hawaiʻi at Mānoa","university-of-hawaiʻi-at-mānoa",0.84,Honolulu,HI,0.62,682,597,1135,1170,23,15000,12000,12000,hawaii.edu
"California Polytechnic State University",california-polytechnic-state-university,0.38,"San Luis Obispo",CA,0.83,47,731,1140,1340,29,21000,20000,10000,calpoly.edu
"Texas Christian University",texas-christian-university,0.48,"Fort Worth",TX,0.82,208,555,1145,1250,28,10000,9000,49000,tcu.edu
"Rochester Institute of Technology",rochester-institute-of-technology,0.74,Rochester,NY,0.71,1294,624,1150,1315,29,14000,12000,45000,rit.edu
"Pace University",pace-university,0.83,"New York",NY,0.59,854,646,1155,1140,24,12000,9000,46000,pace.edu
