school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"West Georgia Technical College",west-georgia-technical-college,,,,,,7418,82574,,,,,,westgatech.edu
"Culver–Stockton College","culver–stockton-college",0.98,Canton,MO,0.46,414,6870,82615,995,20,1000,1000,27000,culver.edu
"Marymount California University",marymount-california-university,,"Rancho Palos Verdes",CA,0.32,,6203,82656,,,1000,1000,36000,marymountcalifornia.edu
"Skyline College",skyline-college,,"San Bruno",CA,0.22,,4631,82697,,,5000,5000,1000,skylinecollege.edu
"Bluefield State College",bluefield-state-college,0.9,Bluefield,WV,0.32,1150,4039,82738,880,18,1000,1000,7000,bluefieldstate.edu
"New England Institute of Technology",new-england-institute-of-technology,0.69,"East Greenwich",RI,0.48,,7121,82779,1060,17,3000,3000,31000,neit.edu
"Chipola College",chipola-college,,Marianna,FL,0.49,,6659,82820,,,1000,1000,3000,chipola.edu
"La Salle Extension University",la-salle-extension-university,,,,,,2707,82861,,,,,,
"County College of Morris",county-college-of-morris,,Randolph,NJ,0.35,,6934,82902,,,6000,6000,9000,www.ccm.edu
"Truman College",truman-college,,Chicago,IL,0.28,,4497,82943,,,5000,5000,9000,ccc.edu
"Madison University",madison-university,,,,,,8219,82984,,,,,,
"Phoenix Seminary",phoenix-seminary,,Scottsdale,AZ,,,6830,83025,,,1000,,,ps.edu
"Briarcliffe College",briarcliffe-college,,,,,,6650,83066,,,,,,
"Puranmal Lahoti Government Polytechnic Latur",puranmal-lahoti-government-polytechnic-latur,,,,,,6620,83107,,,,,,
"Concordia University School of Law",concordia-university-school-of-law,,,,,,7359,83148,,,,,,
"Colorado Heights University",colorado-heights-university,,,,,,5008,83189,,,,,,
"Molloy College",molloy-college,0.74,"Rockville Centre",NY,0.73,354,4956,83230,1145,25,5000,4000,33000,molloy.edu
"North Idaho College",north-idaho-college,,"Coeur d'Alene",ID,0.28,,6485,83271,,,3000,3000,5000,nic.edu
"Amberton University",amberton-university,,Garland,TX,,,5116,83312,,,1000,0,8000,amberton.edu
"North Central Texas College",north-central-texas-college,,Gainesville,TX,0.2,,4799,83353,,,6000,6000,5000,nctc.edu
"The Art Institute of Houston",the-art-institute-of-houston,,Houston,TX,0.3,,5708,83394,,,1000,1000,19000,artinstitutes.edu
"Westchester Community College",westchester-community-college,,Valhalla,NY,0.2,,5016,83435,,,8000,8000,5000,sunywcc.edu
"Pioneer Pacific College",pioneer-pacific-college,,Beaverton,OR,,,7915,83476,,,1000,1000,15000,
"Lorain County Community College",lorain-county-community-college,,Elyria,OH,0.23,,7326,83517,,,6000,6000,4000,lorainccc.edu
"Brevard College",brevard-college,0.45,Brevard,NC,0.39,1221,5910,83558,,,1000,1000,30000,brevard.edu
